,Index,Predicted_values,original
260,1,0,0
467,2,0,0
121,3,0,0
533,4,0,0
241,5,0,0
97,6,0,0
471,7,0,0
524,8,0,0
151,9,0,0
33,10,0,0
521,11,0,0
102,12,0,0
299,13,0,0
64,14,0,0
515,15,0,0
450,16,0,0
436,17,0,0
125,18,0,0
322,19,0,0
122,20,0,0
325,21,0,0
168,22,0,0
30,23,0,0
371,24,0,0
511,25,0,0
257,26,0,0
337,27,0,0
114,28,0,0
222,29,0,0
484,30,0,0
91,31,0,0
25,32,0,0
69,33,0,0
487,34,0,0
465,35,0,0
492,36,0,0
430,37,0,0
127,38,0,0
485,39,0,0
147,40,0,0
358,41,0,0
509,42,0,0
517,43,0,0
138,44,0,0
381,45,0,0
162,46,0,0
285,47,0,0
220,48,0,0
70,49,0,0
154,50,0,0
67,51,0,0
185,52,0,0
38,53,0,0
445,54,0,0
384,55,0,0
418,56,0,0
236,57,0,0
35,58,0,0
303,59,0,0
8,60,0,0
374,61,0,0
451,62,0,0
537,63,0,0
498,64,0,0
164,65,0,0
66,66,0,0
265,67,0,0
65,68,0,0
424,69,0,0
202,70,0,0
184,71,0,0
444,72,0,0
43,73,0,0
434,74,0,0
32,75,0,0
219,76,0,0
289,77,0,0
308,78,0,0
26,79,0,0
519,80,0,0
183,81,0,0
88,82,0,0
518,83,1,0
163,84,0,0
486,85,0,0
405,86,0,0
78,87,0,0
171,88,0,0
516,89,0,0
56,90,0,0
182,91,0,0
373,92,0,0
94,93,0,0
461,94,0,0
402,95,0,0
90,96,0,0
442,97,0,0
539,98,0,0
363,99,0,0
282,100,0,0
304,101,0,0
306,102,0,0
77,103,0,0
225,104,0,0
149,105,0,0
301,106,0,0
535,107,0,0
468,108,0,0
501,109,0,0
120,110,0,0
196,111,0,0
383,112,0,0
47,113,0,0
345,114,0,0
275,115,0,0
86,116,0,0
286,117,0,0
314,118,0,0
523,119,0,0
294,120,0,0
34,121,0,0
408,122,0,0
201,123,0,0
427,124,0,0
42,125,0,0
315,126,0,0
449,127,0,0
9,128,0,0
242,129,0,0
350,130,0,0
526,131,0,0
155,132,0,0
54,133,0,0
187,134,1,0
137,135,0,0
214,136,0,0
235,137,0,0
210,138,1,0
488,139,0,0
339,140,0,0
1,141,0,0
435,142,0,0
276,143,0,0
135,144,1,0
414,145,0,0
441,146,0,0
380,147,0,0
353,148,0,0
311,149,1,0
370,150,0,0
330,151,0,0
204,152,0,0
478,153,0,0
480,154,0,0
157,155,0,0
29,156,0,0
57,157,0,0
454,158,0,0
403,159,0,0
398,160,0,0
271,161,0,0
340,162,0,0
309,163,1,0
277,164,1,0
17,165,0,0
514,166,0,0
532,167,0,0
14,168,0,0
206,169,0,0
158,170,0,0
107,171,0,0
475,172,1,0
458,173,0,0
423,174,0,0
117,175,0,0
531,176,0,0
283,177,0,0
429,178,0,0
79,179,0,0
177,180,0,0
133,181,0,0
62,182,0,0
323,183,0,0
406,184,0,0
243,185,0,0
140,186,0,0
71,187,0,0
24,188,0,0
195,189,0,0
320,190,0,0
525,191,0,0
499,192,0,0
83,193,0,0
31,194,0,0
495,195,0,0
51,196,0,0
297,197,0,0
188,198,0,0
296,199,0,0
180,200,0,0
228,201,0,0
379,202,0,0
272,203,0,0
146,204,0,0
200,205,0,0
49,206,0,0
274,207,0,0
479,208,0,0
259,209,0,0
302,210,0,0
497,211,0,0
193,212,0,0
197,213,0,0
16,214,0,0
190,215,0,0
203,216,0,0
224,217,0,0
13,218,0,0
27,219,0,0
11,220,0,0
132,221,0,0
448,222,0,0
463,223,0,0
211,224,0,0
167,225,0,0
130,226,0,0
344,227,0,0
103,228,0,0
329,229,0,0
455,230,0,0
52,231,0,0
48,232,0,0
6,233,0,0
412,234,0,0
172,235,0,0
388,236,0,0
354,237,0,0
512,238,0,0
491,239,0,0
245,240,0,0
198,241,0,0
213,242,0,0
15,243,0,0
108,244,0,0
453,245,0,0
413,246,0,0
391,247,0,0
420,248,0,0
153,249,0,0
416,250,0,0
104,251,0,0
496,252,0,0
59,253,0,0
84,254,0,0
2,255,0,0
356,256,0,0
419,257,0,0
348,258,0,0
469,259,0,0
280,260,0,0
106,261,0,0
385,262,0,0
22,263,0,0
327,264,0,0
470,265,0,0
252,266,0,0
227,267,0,0
199,268,0,0
101,269,0,0
431,270,0,0
505,271,0,0
60,272,1,0
357,273,0,0
360,274,0,0
238,275,0,0
244,276,0,0
399,277,0,0
255,278,0,0
335,279,0,0
377,280,0,0
439,281,0,0
261,282,0,0
365,283,0,0
156,284,0,0
63,285,0,0
290,286,0,0
207,287,0,0
417,288,0,0
110,289,1,0
131,290,0,0
273,291,0,0
239,292,0,0
300,293,0,0
500,294,0,0
452,295,0,0
407,296,0,0
464,297,0,0
85,298,0,0
145,299,0,0
410,300,0,0
216,301,0,0
254,302,1,0
466,303,1,0
92,304,1,0
212,305,1,0
230,306,1,0
96,307,0,0
394,308,0,0
191,309,0,0
319,310,0,0
248,311,0,0
50,312,0,0
116,313,1,0
534,314,0,0
229,315,0,0
143,316,0,0
490,317,0,0
425,318,0,0
287,319,1,0
217,320,0,0
3,321,0,0
18,322,1,0
112,323,1,0
175,324,1,0
367,325,1,0
20,326,0,0
136,327,1,0
305,328,0,0
513,329,0,0
502,330,0,0
336,331,0,0
483,332,0,0
99,333,0,0
240,334,0,0
298,335,1,0
281,336,1,0
134,337,1,0
368,338,1,0
421,339,1,0
342,340,1,0
12,341,0,0
192,342,1,0
28,343,0,0
422,344,0,0
278,345,1,0
307,346,0,0
159,347,1,0
0,348,1,0
404,349,0,0
46,350,0,0
194,351,1,0
426,352,0,0
250,353,1,0
