,Index,Predicted_values,original
204,1,0,0
389,2,0,0
413,3,0,0
201,4,0,0
149,5,0,0
84,6,0,0
55,7,0,0
50,8,0,0
405,9,0,0
70,10,0,0
409,11,0,0
221,12,0,0
365,13,0,0
122,14,0,0
255,15,0,0
517,16,0,0
285,17,0,0
258,18,0,0
34,19,0,0
64,20,0,0
360,21,0,0
376,22,0,0
176,23,0,0
308,24,0,0
26,25,0,0
361,26,0,0
46,27,0,0
32,28,0,0
169,29,0,0
157,30,0,0
65,31,0,0
381,32,0,0
431,33,0,0
256,34,0,0
216,35,0,0
226,36,0,0
287,37,0,0
86,38,0,0
128,39,0,0
18,40,0,0
211,41,0,0
245,42,0,0
228,43,0,0
276,44,0,0
238,45,0,0
82,46,0,0
372,47,0,0
404,48,0,0
426,49,0,0
109,50,0,0
186,51,0,0
525,52,0,0
106,53,0,0
143,54,0,0
343,55,0,0
33,56,0,0
198,57,0,0
229,58,0,0
452,59,0,0
338,60,0,0
509,61,0,0
166,62,0,0
167,63,0,0
414,64,0,0
156,65,0,0
322,66,0,0
412,67,0,0
505,68,0,0
483,69,0,0
231,70,0,0
444,71,0,0
422,72,0,0
142,73,0,0
209,74,0,0
43,75,0,0
520,76,0,0
95,77,0,0
425,78,0,0
202,79,0,0
94,80,0,0
150,81,0,0
9,82,0,0
466,83,0,0
478,84,0,0
131,85,0,0
510,86,0,0
136,87,0,0
107,88,0,0
410,89,0,0
115,90,0,0
539,91,0,0
129,92,0,0
241,93,0,0
272,94,0,0
91,95,0,0
93,96,0,0
23,97,0,0
342,98,0,0
371,99,0,0
336,100,0,0
59,101,0,0
281,102,0,0
440,103,0,0
459,104,0,0
47,105,0,0
114,106,0,0
300,107,0,0
57,108,0,0
438,109,0,0
16,110,0,0
493,111,0,0
217,112,0,0
21,113,0,0
311,114,0,0
277,115,0,0
152,116,0,0
158,117,0,0
352,118,0,0
171,119,0,0
395,120,0,0
446,121,0,0
92,122,0,0
495,123,0,0
391,124,0,0
293,125,0,0
31,126,0,0
341,127,1,0
62,128,0,0
532,129,0,0
137,130,0,0
354,131,1,0
441,132,0,0
178,133,0,0
278,134,0,0
133,135,0,0
477,136,0,0
279,137,0,0
130,138,0,0
189,139,0,0
323,140,0,0
77,141,0,0
508,142,0,0
67,143,0,0
44,144,0,0
443,145,0,0
416,146,0,0
390,147,0,0
473,148,0,0
139,149,0,0
284,150,0,0
155,151,0,0
161,152,0,0
173,153,0,0
275,154,0,0
254,155,0,0
22,156,0,0
476,157,0,0
56,158,0,0
153,159,0,0
458,160,0,0
326,161,0,0
253,162,0,0
148,163,0,0
39,164,0,0
301,165,0,0
399,166,0,0
297,167,0,0
14,168,0,0
97,169,0,0
185,170,0,0
159,171,0,0
179,172,0,0
78,173,0,0
210,174,0,0
224,175,0,0
484,176,0,0
369,177,0,0
144,178,0,0
454,179,0,0
261,180,0,0
528,181,0,0
486,182,0,0
498,183,0,0
98,184,0,0
373,185,0,0
333,186,0,0
38,187,0,0
183,188,0,0
164,189,0,0
182,190,0,0
489,191,0,0
218,192,0,0
471,193,0,0
96,194,0,0
494,195,0,0
175,196,0,0
526,197,0,0
141,198,0,0
168,199,0,0
291,200,0,0
434,201,0,0
289,202,0,0
433,203,0,0
125,204,0,0
522,205,0,0
225,206,0,0
110,207,0,0
362,208,0,0
314,209,0,0
462,210,0,0
375,211,0,0
377,212,0,0
394,213,0,0
530,214,0,0
511,215,0,0
117,216,0,0
6,217,0,0
121,218,0,0
240,219,0,0
424,220,0,0
11,221,0,0
271,222,0,0
506,223,0,0
236,224,0,0
188,225,0,0
72,226,0,0
337,227,0,0
387,228,0,0
112,229,0,0
199,230,0,0
492,231,0,0
345,232,0,0
213,233,0,0
294,234,0,0
246,235,0,0
73,236,0,0
531,237,0,0
234,238,0,0
401,239,0,0
208,240,0,0
468,241,0,0
392,242,0,0
403,243,0,0
298,244,0,0
15,245,0,0
233,246,0,0
5,247,0,0
237,248,0,0
100,249,0,0
269,250,0,0
76,251,0,0
247,252,0,0
504,253,0,0
192,254,0,0
282,255,0,0
8,256,0,0
502,257,0,0
124,258,0,0
325,259,0,0
450,260,0,0
206,261,0,0
515,262,0,0
330,263,0,0
487,264,0,0
317,265,0,0
75,266,0,0
151,267,0,0
307,268,0,0
116,269,0,0
203,270,0,0
2,271,0,0
472,272,1,0
102,273,0,0
512,274,0,0
379,275,0,0
335,276,0,0
160,277,0,0
533,278,0,0
63,279,0,0
118,280,0,0
320,281,0,0
428,282,0,0
514,283,0,0
85,284,0,0
120,285,0,0
334,286,0,0
363,287,0,0
357,288,0,0
29,289,0,0
227,290,0,0
490,291,0,0
80,292,0,0
309,293,0,0
257,294,0,0
0,295,0,0
299,296,0,0
296,297,0,0
384,298,0,0
536,299,0,0
154,300,0,0
315,301,0,0
448,302,0,0
61,303,0,0
197,304,0,0
88,305,0,0
418,306,0,0
518,307,0,0
147,308,0,0
60,309,0,0
242,310,0,0
244,311,0,0
439,312,0,0
319,313,0,0
344,314,0,0
353,315,1,0
366,316,0,0
449,317,0,0
331,318,0,0
429,319,0,0
3,320,0,0
90,321,0,0
260,322,0,0
432,323,0,0
340,324,1,0
306,325,0,0
79,326,0,0
445,327,0,0
464,328,0,0
436,329,0,0
316,330,0,0
74,331,0,0
222,332,0,0
453,333,0,0
111,334,0,0
68,335,0,0
329,336,0,0
13,337,0,0
89,338,1,0
140,339,0,0
455,340,0,0
66,341,0,0
417,342,1,0
250,343,0,0
243,344,1,0
69,345,1,0
103,346,1,0
191,347,0,0
378,348,0,0
252,349,1,0
385,350,1,0
356,351,1,0
36,352,1,0
25,353,0,0
99,354,1,0
460,355,1,0
83,356,1,0
349,357,1,0
20,358,1,0
53,359,1,0
305,360,1,0
28,361,1,1
290,362,1,1
259,363,1,1
30,364,1,1
303,365,1,1
496,366,1,1
358,367,1,1
212,368,0,1
488,369,1,1
87,370,1,1
42,371,1,1
49,372,1,1
321,373,1,1
292,374,1,1
268,375,1,1
232,376,1,1
348,377,1,1
507,378,1,1
235,379,1,1
479,380,1,1
497,381,1,1
407,382,1,1
230,383,1,1
519,384,1,1
104,385,1,1
51,386,1,1
500,387,1,1
419,388,0,1
327,389,1,1
457,390,0,1
523,391,0,1
421,392,0,1
35,393,1,1
302,394,1,1
370,395,1,1
187,396,1,1
101,397,1,1
521,398,1,1
58,399,1,1
312,400,1,1
165,401,1,1
355,402,1,1
190,403,1,1
27,404,1,1
537,405,1,1
267,406,1,1
1,407,1,1
126,408,1,1
10,409,1,1
398,410,0,1
113,411,1,1
491,412,1,1
499,413,1,1
324,414,1,1
54,415,1,1
180,416,1,1
304,417,1,1
408,418,0,1
420,419,1,1
339,420,1,1
162,421,1,1
265,422,1,1
177,423,1,1
52,424,1,1
40,425,1,1
396,426,1,1
430,427,1,1
7,428,1,1
485,429,1,1
263,430,0,1
415,431,1,1
427,432,1,1
527,433,1,1
45,434,1,1
359,435,1,1
108,436,1,1
219,437,1,1
239,438,1,1
194,439,1,1
482,440,1,1
200,441,0,1
163,442,1,1
207,443,1,1
174,444,1,1
386,445,1,1
501,446,1,1
146,447,1,1
41,448,1,1
435,449,0,1
313,450,1,1
382,451,0,1
105,452,0,1
223,453,1,1
270,454,0,1
513,455,1,1
181,456,1,1
295,457,1,1
374,458,1,1
447,459,1,1
266,460,1,1
123,461,1,1
346,462,1,1
37,463,1,1
538,464,1,1
465,465,1,1
248,466,1,1
172,467,1,1
132,468,1,1
283,469,1,1
368,470,1,1
388,471,1,1
274,472,1,1
4,473,1,1
310,474,1,1
437,475,1,1
469,476,1,1
364,477,1,1
467,478,1,1
19,479,1,1
480,480,1,1
535,481,1,1
474,482,1,1
481,483,1,1
524,484,1,1
516,485,1,1
470,486,1,1
119,487,1,1
475,488,1,1
288,489,1,1
273,490,1,1
196,491,1,1
393,492,1,1
318,493,1,1
251,494,1,1
12,495,1,1
456,496,1,1
451,497,1,1
135,498,1,1
347,499,1,1
249,500,1,1
461,501,1,1
351,502,1,1
332,503,1,1
529,504,1,1
48,505,1,1
442,506,1,1
400,507,1,1
411,508,1,1
262,509,1,1
286,510,1,1
328,511,1,1
195,512,1,1
215,513,1,1
463,514,1,1
138,515,1,1
193,516,1,1
264,517,1,1
406,518,1,1
380,519,1,1
397,520,1,1
71,521,1,1
145,522,1,1
423,523,1,1
81,524,1,1
214,525,1,1
134,526,1,1
280,527,1,1
534,528,1,1
383,529,1,1
205,530,1,1
367,531,1,1
350,532,1,1
127,533,0,1
220,534,0,1
402,535,0,1
17,536,1,1
503,537,1,1
170,538,1,1
24,539,1,1
184,540,1,1
