,Index,Predicted_values,original
98,1,0,0
533,2,0,0
523,3,0,0
534,4,0,0
177,5,1,0
456,6,0,0
531,7,0,0
504,8,0,0
226,9,0,0
203,10,0,0
180,11,0,0
16,12,0,0
200,13,0,0
498,14,0,0
1,15,0,0
512,16,0,0
156,17,0,0
359,18,0,0
501,19,0,0
453,20,0,0
458,21,0,0
9,22,0,0
10,23,0,0
51,24,0,0
440,25,0,0
370,26,0,0
396,27,1,0
131,28,0,0
74,29,0,0
267,30,0,0
250,31,0,0
133,32,0,0
257,33,0,0
255,34,0,0
486,35,0,0
417,36,0,0
325,37,0,0
129,38,0,0
493,39,0,0
112,40,0,0
434,41,0,0
308,42,0,0
502,43,0,0
54,44,0,0
317,45,0,0
145,46,0,0
312,47,0,0
518,48,0,0
128,49,0,0
29,50,0,0
127,51,0,0
341,52,0,0
418,53,0,0
65,54,0,0
389,55,0,0
296,56,0,0
460,57,0,0
14,58,0,0
7,59,0,0
378,60,0,0
435,61,0,0
384,62,0,0
83,63,0,0
461,64,0,0
470,65,0,0
336,66,0,0
430,67,0,0
25,68,0,0
113,69,0,0
524,70,0,0
105,71,0,0
24,72,0,0
35,73,0,0
221,74,0,0
69,75,0,0
536,76,0,0
187,77,0,0
150,78,1,0
346,79,1,0
71,80,1,0
350,81,0,0
394,82,0,0
369,83,1,0
299,84,0,0
441,85,1,0
311,86,0,0
18,87,0,0
213,88,0,0
429,89,0,0
527,90,0,0
477,91,0,0
279,92,0,0
297,93,0,0
472,94,0,0
179,95,1,0
409,96,0,0
56,97,0,0
102,98,0,0
424,99,0,0
192,100,0,0
125,101,0,0
356,102,0,0
87,103,1,0
515,104,0,0
171,105,0,0
130,106,0,0
159,107,0,0
12,108,0,0
373,109,0,0
182,110,0,0
345,111,0,0
306,112,0,0
170,113,0,0
204,114,1,0
222,115,0,0
93,116,0,0
107,117,0,0
438,118,0,0
138,119,0,0
263,120,0,0
313,121,0,0
251,122,0,0
82,123,0,0
194,124,0,0
291,125,0,0
437,126,0,0
147,127,0,0
19,128,0,0
358,129,0,0
247,130,0,0
354,131,0,0
95,132,0,0
146,133,0,0
214,134,0,0
304,135,0,0
271,136,0,0
212,137,0,0
535,138,0,0
89,139,0,0
94,140,0,0
183,141,0,0
287,142,0,0
330,143,0,0
55,144,0,0
355,145,0,0
238,146,0,0
383,147,0,0
277,148,0,0
169,149,0,0
195,150,0,0
420,151,0,0
31,152,0,0
20,153,0,0
447,154,0,0
391,155,0,0
514,156,0,0
483,157,0,0
431,158,1,0
198,159,0,0
178,160,0,0
96,161,0,0
419,162,0,0
482,163,0,0
272,164,0,0
185,165,0,0
172,166,0,0
164,167,0,0
232,168,0,0
248,169,0,0
148,170,0,0
190,171,0,0
32,172,0,0
176,173,0,0
136,174,1,0
197,175,1,0
49,176,0,0
91,177,0,0
490,178,1,0
275,179,0,0
443,180,1,0
326,181,0,0
117,182,0,0
526,183,1,0
318,184,1,0
101,185,0,0
324,186,0,0
43,187,0,0
405,188,0,0
184,189,0,0
201,190,0,0
532,191,0,0
166,192,0,0
173,193,0,0
363,194,0,0
385,195,0,0
368,196,0,0
215,197,0,0
46,198,0,0
154,199,1,0
219,200,1,0
191,201,0,0
485,202,0,0
167,203,1,0
466,204,0,0
249,205,0,0
471,206,0,0
45,207,0,0
510,208,0,0
99,209,0,0
157,210,0,0
160,211,1,0
500,212,0,0
467,213,0,0
217,214,0,0
491,215,1,0
374,216,1,0
423,217,0,0
33,218,0,0
505,219,0,0
110,220,0,0
260,221,0,0
100,222,0,0
322,223,0,0
80,224,0,0
84,225,0,0
468,226,0,0
106,227,0,0
327,228,0,0
256,229,0,0
196,230,0,0
11,231,0,0
264,232,1,0
494,233,0,0
120,234,0,0
411,235,0,0
276,236,1,0
44,237,0,0
86,238,0,0
537,239,0,0
375,240,0,0
319,241,0,0
235,242,0,0
298,243,0,0
161,244,0,0
92,245,0,0
41,246,0,0
36,247,1,0
108,248,1,0
507,249,0,0
229,250,0,0
103,251,0,0
452,252,0,0
528,253,1,0
316,254,0,0
539,255,0,0
387,256,0,0
162,257,0,0
266,258,0,0
126,259,0,0
40,260,0,0
28,261,0,0
218,262,0,0
517,263,0,0
399,264,1,0
79,265,1,0
158,266,0,0
97,267,0,0
237,268,0,0
227,269,0,0
