,Index,Predicted_values,original
1,1,0,0
212,2,0,0
282,3,0,0
134,4,0,0
35,5,0,0
239,6,0,0
491,7,0,0
388,8,0,0
112,9,0,0
189,10,0,0
185,11,0,0
344,12,0,0
526,13,0,0
152,14,0,0
338,15,0,0
443,16,0,0
278,17,0,0
401,18,0,0
3,19,0,0
238,20,0,0
45,21,0,0
117,22,0,0
459,23,0,0
337,24,1,0
517,25,0,0
514,26,1,0
298,27,0,0
214,28,0,0
454,29,0,0
132,30,0,0
148,31,0,0
164,32,0,0
109,33,0,0
141,34,0,0
217,35,0,0
50,36,0,0
225,37,0,0
17,38,0,0
111,39,0,0
99,40,0,0
309,41,0,0
432,42,0,0
196,43,0,0
510,44,0,0
4,45,0,0
372,46,0,0
184,47,0,0
480,48,0,0
385,49,0,0
345,50,0,0
142,51,0,0
10,52,0,0
8,53,0,0
37,54,0,0
110,55,0,0
144,56,0,0
447,57,0,0
429,58,0,0
182,59,1,0
408,60,0,0
151,61,0,0
124,62,0,0
380,63,0,0
472,64,0,0
348,65,0,0
72,66,0,0
53,67,0,0
469,68,0,0
272,69,0,0
51,70,0,0
333,71,0,0
150,72,0,0
364,73,0,0
285,74,0,0
497,75,0,0
513,76,0,0
147,77,0,0
434,78,0,0
352,79,0,0
302,80,0,0
262,81,0,0
47,82,0,0
49,83,0,0
527,84,0,0
16,85,0,0
389,86,0,0
60,87,0,0
314,88,0,0
233,89,0,0
270,90,0,0
11,91,0,0
463,92,0,0
351,93,0,0
293,94,0,0
46,95,0,0
236,96,1,0
178,97,0,0
209,98,0,0
0,99,0,0
367,100,0,0
509,101,0,0
415,102,0,0
126,103,0,0
192,104,0,0
402,105,0,0
25,106,0,0
83,107,1,0
308,108,0,0
173,109,0,0
439,110,0,0
425,111,0,0
65,112,0,0
361,113,0,0
41,114,0,0
104,115,0,0
140,116,0,0
183,117,0,0
122,118,0,0
21,119,1,0
444,120,0,0
529,121,0,0
284,122,0,0
318,123,0,0
81,124,0,0
137,125,0,0
247,126,1,0
129,127,1,0
181,128,0,0
75,129,0,0
197,130,0,0
461,131,0,0
533,132,0,0
465,133,1,0
455,134,0,0
205,135,0,0
296,136,0,0
470,137,0,0
74,138,0,0
322,139,0,0
221,140,0,0
251,141,0,0
268,142,0,0
149,143,0,0
42,144,0,0
489,145,0,0
528,146,0,0
321,147,0,0
