,Index,Predicted_values,original
438,1,0,0
141,2,0,0
360,3,0,0
439,4,0,0
528,5,0,0
348,6,0,0
138,7,0,0
461,8,0,0
400,9,0,0
100,10,0,0
12,11,0,0
85,12,0,0
75,13,0,0
447,14,0,0
125,15,0,0
429,16,0,0
379,17,0,0
48,18,0,0
462,19,0,0
310,20,0,0
499,21,0,0
454,22,0,0
76,23,0,0
387,24,0,0
10,25,0,0
1,26,0,0
173,27,0,0
511,28,0,0
467,29,0,0
475,30,0,0
303,31,0,0
423,32,0,0
232,33,0,0
179,34,0,0
411,35,0,0
16,36,0,0
335,37,0,0
260,38,0,0
478,39,0,0
347,40,0,0
261,41,0,0
207,42,0,0
358,43,0,0
339,44,0,0
433,45,0,0
20,46,0,0
202,47,0,0
441,48,0,0
472,49,0,0
31,50,0,0
11,51,0,0
89,52,0,0
378,53,0,0
65,54,0,0
302,55,0,0
73,56,0,0
126,57,0,0
29,58,0,0
117,59,0,0
241,60,0,0
298,61,0,0
338,62,0,0
14,63,0,0
185,64,0,0
150,65,0,0
266,66,0,0
163,67,0,0
107,68,0,0
444,69,0,0
317,70,0,0
390,71,0,0
286,72,0,0
483,73,0,0
381,74,0,0
318,75,0,0
45,76,0,0
6,77,0,0
367,78,0,0
536,79,0,0
522,80,0,0
267,81,0,0
491,82,0,0
221,83,0,0
251,84,0,0
277,85,0,0
146,86,0,0
519,87,0,0
99,88,0,0
405,89,0,0
327,90,0,0
401,91,0,0
84,92,0,0
363,93,0,0
17,94,0,0
96,95,0,0
175,96,0,0
79,97,0,0
292,98,0,0
509,99,0,0
287,100,0,0
539,101,0,0
22,102,0,0
120,103,0,0
479,104,0,0
223,105,0,0
316,106,0,0
518,107,0,0
300,108,0,0
537,109,0,0
498,110,0,0
206,111,0,0
430,112,0,0
394,113,0,0
415,114,0,0
524,115,1,0
463,116,0,0
164,117,0,0
455,118,0,0
176,119,0,0
68,120,0,0
344,121,0,0
205,122,0,0
500,123,0,0
495,124,0,0
301,125,0,0
128,126,0,0
265,127,0,0
191,128,0,0
281,129,0,0
321,130,0,0
156,131,0,0
35,132,0,0
41,133,0,0
154,134,0,0
257,135,0,0
293,136,0,0
224,137,0,0
63,138,0,0
61,139,0,0
67,140,0,0
218,141,0,0
392,142,0,0
9,143,0,0
140,144,0,0
116,145,0,0
274,146,0,0
148,147,0,0
134,148,0,0
506,149,0,0
486,150,0,0
351,151,0,0
480,152,0,0
425,153,0,0
420,154,0,0
95,155,0,0
174,156,0,0
268,157,0,0
453,158,0,0
127,159,0,0
82,160,0,0
269,161,0,0
87,162,0,0
313,163,1,0
424,164,0,0
443,165,0,0
209,166,0,0
492,167,0,0
213,168,0,0
485,169,0,0
285,170,0,0
177,171,0,0
384,172,0,0
149,173,0,0
460,174,0,0
170,175,0,0
376,176,0,0
334,177,0,0
90,178,0,0
182,179,0,0
188,180,0,0
352,181,0,0
408,182,0,0
247,183,0,0
161,184,0,0
380,185,0,0
129,186,0,0
42,187,0,0
294,188,0,0
306,189,0,0
305,190,0,0
476,191,0,0
112,192,0,0
259,193,0,0
0,194,0,0
416,195,0,0
169,196,0,0
369,197,1,0
190,198,0,0
271,199,0,0
276,200,0,0
336,201,0,0
147,202,0,0
38,203,0,0
220,204,0,0
196,205,0,0
239,206,0,0
385,207,0,0
520,208,0,0
43,209,0,0
131,210,0,0
245,211,0,0
283,212,0,0
211,213,0,0
263,214,0,0
234,215,0,0
165,216,0,0
297,217,0,0
55,218,0,0
235,219,0,0
2,220,0,0
341,221,0,0
200,222,0,0
515,223,0,0
122,224,0,0
252,225,0,0
370,226,0,0
32,227,0,0
533,228,0,0
183,229,0,0
399,230,0,0
295,231,0,0
299,232,0,0
432,233,0,0
130,234,0,0
487,235,0,0
357,236,0,0
275,237,0,0
345,238,0,0
326,239,0,0
229,240,0,0
58,241,0,0
323,242,0,0
186,243,0,0
417,244,0,0
496,245,0,0
167,246,0,0
282,247,0,0
208,248,0,0
159,249,0,0
356,250,0,0
253,251,0,0
377,252,0,0
66,253,0,0
474,254,0,0
7,255,0,0
469,256,0,0
414,257,0,0
144,258,0,0
198,259,1,0
103,260,0,0
184,261,0,0
30,262,0,0
325,263,0,0
92,264,0,0
296,265,0,0
94,266,0,0
135,267,0,0
361,268,0,0
143,269,0,0
503,270,0,0
133,271,0,0
216,272,0,0
322,273,0,0
490,274,0,0
145,275,0,0
402,276,0,0
71,277,0,0
27,278,0,0
142,279,0,0
312,280,0,0
237,281,0,0
427,282,0,0
512,283,0,0
230,284,0,0
33,285,0,0
53,286,0,0
56,287,0,0
428,288,0,0
110,289,0,0
445,290,0,0
212,291,0,0
389,292,0,0
180,293,1,0
473,294,0,0
5,295,1,0
158,296,1,0
342,297,0,0
214,298,0,0
78,299,0,0
102,300,0,0
203,301,1,0
329,302,1,0
157,303,1,0
353,304,0,0
52,305,1,0
60,306,1,0
97,307,0,0
530,308,0,0
225,309,0,0
210,310,1,0
215,311,0,0
119,312,0,0
23,313,0,0
98,314,0,0
19,315,0,0
507,316,0,0
246,317,0,0
47,318,0,0
346,319,0,0
240,320,0,0
333,321,0,0
4,322,0,0
343,323,0,0
413,324,0,0
93,325,0,0
442,326,0,0
315,327,0,0
91,328,0,0
172,329,0,0
388,330,0,0
504,331,0,0
270,332,0,0
452,333,1,0
123,334,1,0
